"Date","Transaction","Name","Memo","Amount"
"2026-01-02","CREDIT","ELECTRONIC DEPOSIT KBS-OSV","Download from usbank.com.","2485.71"
"2026-01-02","CREDIT","ELECTRONIC DEPOSIT VENMO","Download from usbank.com.","350.00"
"2026-01-02","DEBIT","FUNDS TRANSFER-DEBIT 8917","Download from usbank.com.","-268.03"
"2026-01-02","DEBIT","WEB AUTHORIZED PMT VENMO","Download from usbank.com.","-3500.00"
"2026-01-05","CREDIT","ELECTRONIC DEPOSIT VENMO","Download from usbank.com.","1750.00"
"2026-01-08","CREDIT","ELECTRONIC DEPOSIT VENMO","Download from usbank.com.","550.00"
"2026-01-09","CREDIT","ELECTRONIC DEPOSIT VENMO","Download from usbank.com.","1000.00"
"2026-01-09","DEBIT","ELECTRONIC WITHDRAWAL U.S. Bancorp Inv","Download from usbank.com.","-500.00"
"2026-01-12","CREDIT","MOBILE CHECK DEPOSIT","Download from usbank.com.","1821.23"
"2026-01-12","DEBIT","MONTHLY MAINTENANCE FEE","Download from usbank.com.","-24.95"
"2026-01-12","CREDIT","MONTHLY MAINTENANCE FEE WAIVED","Download from usbank.com.","24.95"
"2026-01-12","CREDIT","INTEREST PAID THIS PERIOD","Download from usbank.com.","0.02"
"2026-01-14","DEBIT","WEB AUTHORIZED PMT CITI AUTOPAY","Download from usbank.com.","-34.18"
"2026-01-15","DEBIT","WEB AUTHORIZED PMT DEPT EDUCATION","Download from usbank.com.","-4000.00"
"2026-01-16","CREDIT","ELECTRONIC DEPOSIT KBS-OSV","Download from usbank.com.","2435.69"
"2026-01-16","DEBIT","ELECTRONIC WITHDRAWAL USBANK LOAN","Download from usbank.com.","-281.44"
"2026-01-26","DEBIT","WEB AUTHORIZED PMT AMEX EPAYMENT","Download from usbank.com.","-299.27"
"2026-01-30","CREDIT","ELECTRONIC DEPOSIT KBS-OSV","Download from usbank.com.","2435.71"
"2026-01-30","DEBIT","ELECTRONIC WITHDRAWAL SONIC NET LLC","Download from usbank.com.","-76.66"
"2026-01-30","DEBIT","WEB AUTHORIZED PMT AMEX EPAYMENT","Download from usbank.com.","-3566.51"
"2026-02-02","CREDIT","MOBILE BANKING TRANSFER DEPOSIT 9129","Download from usbank.com.","2500.00"
"2026-02-02","CREDIT","ELECTRONIC DEPOSIT VENMO","Download from usbank.com.","1500.00"
"2026-02-02","DEBIT","FUNDS TRANSFER-DEBIT 8917","Download from usbank.com.","-268.03"
"2026-02-02","DEBIT","WEB AUTHORIZED PMT VENMO","Download from usbank.com.","-3500.00"
"2026-02-03","CREDIT","MOBILE CHECK DEPOSIT","Download from usbank.com.","1821.23"
"2026-02-09","DEBIT","ELECTRONIC WITHDRAWAL U.S. Bancorp Inv","Download from usbank.com.","-500.00"
"2026-02-10","CREDIT","MOBILE CHECK DEPOSIT","Download from usbank.com.","19000.00"
"2026-02-10","DEBIT","WEB AUTHORIZED PMT VENMO","Download from usbank.com.","-31.00"
"2026-02-10","DEBIT","MONTHLY MAINTENANCE FEE","Download from usbank.com.","-24.95"
"2026-02-10","CREDIT","MONTHLY MAINTENANCE FEE WAIVED","Download from usbank.com.","24.95"
"2026-02-10","CREDIT","INTEREST PAID THIS PERIOD","Download from usbank.com.","0.01"
"2026-02-12","DEBIT","ELECTRONIC WITHDRAWAL CHASE CREDIT CRD","Download from usbank.com.","-5.60"
"2026-02-13","CREDIT","ELECTRONIC DEPOSIT KBS-OSV","Download from usbank.com.","2485.70"
"2026-02-17","CREDIT","ELECTRONIC DEPOSIT VENMO","Download from usbank.com.","1750.00"
"2026-02-17","DEBIT","WEB AUTHORIZED PMT CITI AUTOPAY","Download from usbank.com.","-129.93"
"2026-02-17","DEBIT","ELECTRONIC WITHDRAWAL USBANK LOAN","Download from usbank.com.","-281.44"
"2026-02-17","DEBIT","WEB AUTHORIZED PMT VENMO","Download from usbank.com.","-206.22"
"2026-02-17","DEBIT","ELECTRONIC WITHDRAWAL FUNKY DOOR","Download from usbank.com.","-218.00"
"2026-02-18","DEBIT","WEB AUTHORIZED PMT VENMO","Download from usbank.com.","-377.00"
"2026-02-20","DEBIT","INTERNET BANKING TRANSFER WITHDRAWAL 5567","Download from usbank.com.","-49.57"
"2026-02-23","DEBIT","WEB AUTHORIZED PMT AMEX EPAYMENT","Download from usbank.com.","-514.24"
"2026-02-24","DEBIT","WEB AUTHORIZED PMT VENMO","Download from usbank.com.","-480.00"
"2026-02-27","CREDIT","ELECTRONIC DEPOSIT KBS-OSV","Download from usbank.com.","2435.71"
"2026-02-27","DEBIT","WEB AUTHORIZED PMT AMEX EPAYMENT","Download from usbank.com.","-5501.32"
"2026-03-02","CREDIT","ELECTRONIC DEPOSIT VENMO","Download from usbank.com.","2000.00"
"2026-03-02","DEBIT","FUNDS TRANSFER-DEBIT 8917","Download from usbank.com.","-268.03"
"2026-03-02","DEBIT","ELECTRONIC WITHDRAWAL SONIC NET LLC","Download from usbank.com.","-76.65"
"2026-03-03","CREDIT","ELECTRONIC DEPOSIT VENMO","Download from usbank.com.","1750.00"
"2026-03-03","DEBIT","WEB AUTHORIZED PMT VENMO","Download from usbank.com.","-3500.00"
"2026-03-05","CREDIT","MOBILE CHECK DEPOSIT","Download from usbank.com.","1821.23"
"2026-03-05","DEBIT","WEB AUTHORIZED PMT DEPT EDUCATION","Download from usbank.com.","-20000.00"
"2026-03-09","DEBIT","WEB TRANSFER TO INV","Download from usbank.com.","-500.00"
"2026-03-10","DEBIT","MONTHLY MAINTENANCE FEE","Download from usbank.com.","-24.95"
"2026-03-10","CREDIT","MONTHLY MAINTENANCE FEE WAIVED","Download from usbank.com.","24.95"
"2026-03-10","CREDIT","INTEREST PAID THIS PERIOD","Download from usbank.com.","0.07"
"2026-03-13","CREDIT","ELECTRONIC DEPOSIT KBS-OSV","Download from usbank.com.","2485.70"
"2026-03-16","DEBIT","WEB AUTHORIZED PMT CITI AUTOPAY","Download from usbank.com.","-212.11"
"2026-03-16","DEBIT","ELECTRONIC WITHDRAWAL USBANK LOAN","Download from usbank.com.","-281.44"
"2026-03-16","DEBIT","WEB AUTHORIZED PMT VENMO","Download from usbank.com.","-235.00"
"2026-03-17","DEBIT","ELECTRONIC WITHDRAWAL FUNKY DOOR","Download from usbank.com.","-169.00"
"2026-03-18","CREDIT","INTERNET BANKING TRANSFER DEPOSIT 3687","Download from usbank.com.","373.30"
"2026-03-24","DEBIT","WEB AUTHORIZED PMT AMEX EPAYMENT","Download from usbank.com.","-2958.83"
"2026-03-27","CREDIT","ELECTRONIC DEPOSIT KBS-OSV","Download from usbank.com.","2435.70"
"2026-03-30","CREDIT","INTERNET BANKING TRANSFER DEPOSIT 9129","Download from usbank.com.","467.02"
